City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind
mataura,6,NZ,1634853067,54,-46.19,168.86,57.0,3.62
avarua,20,CK,1634853067,65,-21.21,-159.78,77.05,10.36
vaini,75,TO,1634853068,83,-21.2,-175.2,78.96,5.75
nantucket,1,US,1634853068,88,41.28,-70.1,66.34,12.66
são filipe,21,CV,1634853068,64,14.9,-24.5,81.43,6.6
bredasdorp,100,ZA,1634853069,88,-34.53,20.04,63.72,1.14
hobart,75,AU,1634853069,73,-42.88,147.33,64.02,3.0
hithadhoo,100,MV,1634853069,77,-0.6,73.08,80.74,9.28
saint paul harbor,75,US,1634853070,81,57.79,-152.41,42.31,9.22
bethel,58,US,1634853070,70,41.37,-73.41,70.16,6.64
atar,0,MR,1634853070,17,20.52,-13.05,80.37,8.63
albany,96,US,1634853071,62,42.6,-73.97,67.87,4.54
faanui,27,PF,1634853071,74,-16.48,-151.75,79.14,8.43
mayo,1,US,1634853071,63,38.89,-76.51,75.31,1.99
grants,1,US,1634853072,13,35.15,-107.85,70.03,0.0
punta arenas,40,CL,1634853035,53,-53.15,-70.92,48.31,28.77
rikitea,100,PF,1634852825,79,-23.12,-134.97,74.55,21.52
kiryat gat,1,IL,1634853072,100,31.61,34.76,70.81,3.18
severo-kuril'sk,97,RU,1634853072,64,50.68,156.12,38.55,7.65
bacolod city,70,PH,1634853073,89,10.67,122.95,78.35,8.39
palmer,75,US,1634852777,54,42.16,-72.33,70.97,10.36
cockburn town,90,TC,1634852832,89,21.46,-71.14,78.76,4.61
zhicheng,100,CN,1634853073,77,30.3,111.5,56.77,2.26
gravdal,100,NO,1634853074,73,68.12,13.5,37.67,17.45
east london,100,ZA,1634853074,73,-33.02,27.91,71.46,9.01
husavik,100,IS,1634853074,72,66.04,-17.34,30.11,8.01
pisco,0,PE,1634853075,64,-13.7,-76.22,68.05,16.11
tuktoyaktuk,75,CA,1634853075,93,69.45,-133.04,30.2,6.91
lata,0,PT,1634853075,89,40.16,-8.33,57.61,3.87
